Todo,Difficulty,Type,Category,Rating,Political,Bit idea,Expanded Concept,Programmatic / Tech Steps,Notes / Risks,Outline Dialog/Steps,Assets Needed
,Easy,Line,OneLiner,PG,No,Native Americans move back to India,"One-liner: Native Americans move back to India. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.",Optional: flash the punchline as a lower-third caption after it lands. Delivery-only otherwise.,"Race material: high walk-out risk; target the flawed logic, not people; test in friendly rooms before headlining venues.","1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Optional punchline caption (lower-third PNG). Delivery-only otherwise.
,Easy,Logic,OneLiner,G,No,July 4 happy 2016 birthday,Flawed-logic bit: the joke is the broken reasoning in 'July 4 happy 2016 birthday'. Let the screen 'fact-check' it with a correction graphic - the correction is the punchline.,"Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,1) Deliver the flawed statement straight (SCREEN: neutral). 2) Beat - let it sit. 3) SCREEN: 'fact-check' correction graphic fires - the correction is the punchline (LAUGH BREAK). 4) Deadpan: '...good to know.' Move on.,Holiday graphic pack; themed music cue; balloon/party SFX.
,Easy,Info,Housekeeping,G,No,"Credits like YouTube naming all other web identities, subscribe, comment, etc","Audience-facing housekeeping: Credits like YouTube naming all other web identities, subscribe, comment, etc. Low lift, keeps the show feeling like a broadcast channel instead of a stand-up set.",Static graphic package on the face/rear screens; swap via one button.,Keep it snappy; housekeeping shouldn't feel like a bit that stalls.,"1) Announce it in one line. 2) SCREEN: graphic package up (subscribe/follow cards). 3) 10-15 seconds max, no bit - this is housekeeping. 4) Swap down (SCREEN: reset).",Static graphic package (face + rear); one-button swap.
,Easy,Gag,Visual,PG,No,Show bigger orange gun free zone signs #flawedlogic,"Quick gag: Show bigger orange gun free zone signs #flawedlogic. Plays fast - the button fires the visual, the reaction shot lands it, move on.",One app button fires the visual + SFX together; keep a neutral-face reset button next to it.,"Gun material: keep it cartoonish, zero realistic mimicry; venues and insurers are touchy.","1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
,Easy,Device,Game,G,No,Play games,"Tooling, not a bit on its own: Play games. Build it into the control panel once and it quietly powers other rows; test in an empty room before relying on it live.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.","Failure modes: test in an empty room, keep a manual fallback.","BUILD, not stage time. 1) Spec the feature. 2) Implement + unit-test in empty room. 3) Latency + failure-mode drill (SCREEN: n/a). 4) Document the button mapping. No laugh breaks - it powers other bits.",Control-panel config; latency/failure test checklist; manual fallback.
,Easy,Device,Tooling,G,No,Joke round,"Tooling, not a bit on its own: Joke round. Build it into the control panel once and it quietly powers other rows; test in an empty room before relying on it live.",Add to the control panel; test latency and failure modes in an empty room. Keep a manual fallback.,"Failure modes: test in an empty room, keep a manual fallback.","BUILD, not stage time. 1) Spec the feature. 2) Implement + unit-test in empty room. 3) Latency + failure-mode drill (SCREEN: n/a). 4) Document the button mapping. No laugh breaks - it powers other bits.",Control-panel config; latency/failure test checklist; manual fallback.
1,Easy,Gag,SciFi,G,No,Brain freeze,"Quick gag: Brain freeze. Plays fast - the button fires the visual, the reaction shot lands it, move on.",One app button fires the visual + SFX together; keep a neutral-face reset button next to it.,One beat maximum - gags die when they linger.,"1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
1,Easy,Gag,SciFi,G,No,Solitaire winning screen,"Quick gag: Solitaire winning screen. Plays fast - the button fires the visual, the reaction shot lands it, move on.",One app button fires the visual + SFX together; keep a neutral-face reset button next to it.,"IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
1,Easy,Gag,Visual,G,No,Lie detector,"Quick gag: Lie detector. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Lie-detector UI: animated polygraph trace overlay, spikes on punchlines, bleep SFX; trigger spikes manually.",One beat maximum - gags die when they linger.,"1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Polygraph trace animation (manual spike trigger); bleep/spike SFX.
1,Easy,Gag,Visual,G,No,"Multiple reminders to be funny, screen, watch, phone","Button gag: Multiple reminders to be funny, screen, watch, phone. Plays fast - the button fires the visual, the reaction shot lands it, move on.",One app button fires the visual + SFX together; keep a neutral-face reset button next to it.,One beat maximum - gags die when they linger.,"1) React to a real moment in the room (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
1,Easy,Gag,Visual,G,No,We are experiencing technical difficulties,"Quick gag: We are experiencing technical difficulties. Plays fast - the button fires the visual, the reaction shot lands it, move on.","System-glitch presets: BSOD, buffering wheel, test-pattern - each on its own button with matching SFX; face restores with a reboot chime.",One beat maximum - gags die when they linger.,"1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",BSOD card; buffering spinner animation; color-bars card; power-down + reboot chimes.
,Easy,Bit,Audience,G,No,Audience member shoots zombies attacking me,"Full bit: Audience member shoots zombies attacking me. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms. + Action-loop preset: rear screens run the attack/game clip, head shows game HUD; choreograph safe directions, nothing real gets fired.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Zombie/attack loop clip (green-screen elements); game-HUD overlay; hit SFX; direction choreography note.
1,Hard,Bit,History,PG,No,"Comedytron 3000, and then time travel standup thru history.","Developed bit: Comedytron 3000, and then time travel standup thru history.. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
1,Easy,Gag,Audience,G,No,Show audience webcam on formheadcase and formbackground,"Sight gag: Show audience webcam on formheadcase and formbackground. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms.",One beat maximum - gags die when they linger.,"1) Quick setup line (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Audience-cam feed config; crop/freeze preset; optional grade LUT (grayscale/heart frame).
,Mid,Bit,Sketch,G,No,Make the screen look like my desktop then open stuff that are leftover jokes,"Set piece: Make the screen look like my desktop then open stuff that are leftover jokes. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Line,OneLiner,G,No,Line- little too much screen time,"One-liner: Line- little too much screen time. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.",Optional: flash the punchline as a lower-third caption after it lands. Delivery-only otherwise.,Delivery-only; adjust to room temperature on the fly.,"1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Optional punchline caption (lower-third PNG). Delivery-only otherwise.
2,Easy,Bit,Sketch,G,No,This is your life with person in front of a green screen,"Developed bit: This is your life with person in front of a green screen. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.",Green-screen preset: chroma-key the head (bib/backdrop); check spill and key edges under stage lights before show.,Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Green bib/backdrop (physical); chroma-key preset tuned under stage lights; background plate library.
1,Easy,Bit,Game,G,No,"Game show network. Family feud, etc","Full bit: Game show network. Family feud, etc. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Scoreboard overlay; buzzer/lock-in SFX; board/category graphics; contestant app config.
,Easy,Bit,Audience,G,No,Audience member does live reporter spot in front of green screen with WebCam and Teleprompter,"Set piece: Audience member does live reporter spot in front of green screen with WebCam and Teleprompter. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Green-screen preset: chroma-key the head (bib/backdrop); check spill and key edges under stage lights before show. + Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms. + Breaking-news package: urgent sting, lower-thirds, ticker on rear screens; head anchors with suit graphic. Abort button restores normal face.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",News sting SFX; lower-third template pack; ticker graphic; anchor-suit face card; ABORT card. Green bib/backdrop (physical); chroma-key preset tuned under stage lights; background plate library. Audience-cam feed config; crop/freeze preset; optional grade LUT (grayscale/heart frame).
,Hard,Bit,Audience,G,No,Audience does first interview with face transplant recipient who has his face,"Full bit: Audience does first interview with face transplant recipient who has his face. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.","Identity material: punch at the absurdity or the power, never at the people; expect walk-outs if it reads mean.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Line,Commercial,G,No,I made my own show. Who's not laughing now.,"One-liner: I made my own show. Who's not laughing now.. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.",Optional: flash the punchline as a lower-third caption after it lands. Delivery-only otherwise.,Delivery-only; adjust to room temperature on the fly.,"1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Optional punchline caption (lower-third PNG). Delivery-only otherwise.
,Easy,Bit,History,G,No,Where are they now. Using audience members on cam.,"Set piece: Where are they now. Using audience members on cam.. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms. + Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX.
1,Easy,Bit,Commercial,G,No,"Channel surfing. Comes across Friends(do chandler line), Then karate movie(do bad dub)","Set piece: Channel surfing. Comes across Friends(do chandler line), Then karate movie(do bad dub). Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.","IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Hard,Bit,Commercial,G,No,First head transplant. Excuse me. Rotate heads.,"Full bit: First head transplant. Excuse me. Rotate heads.. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.","Identity material: punch at the absurdity or the power, never at the people; expect walk-outs if it reads mean.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Bit,Audience,G,No,Make a slideshow with audience and head case pictures play too sentimental music at the end,"Developed bit: Make a slideshow with audience and head case pictures play too sentimental music at the end. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
1,Easy,Gag,Visual,G,No,"Comedy scoreboard. Me-1, You-0","Sight gag: Comedy scoreboard. Me-1, You-0. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",One beat maximum - gags die when they linger.,"1) Quick setup line (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Scoreboard overlay; buzzer/lock-in SFX; board/category graphics; contestant app config.
